"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @SchalkDormehl","@SchalkDormehl follows"
RaritySniperNFT,"Rarity Sniper",SniperVerse,"519,894","1,037","16 Jul 2021 16:22:08","3,532","06 Jun 2022 23:00:16","The #1 source for NFT Rarity. 1500+ verified collection rankings on #Ethereum, #Solana & more! Fill the form to get listed with us: https://t.co/kpTDqdrTor",https://RaritySniper.com/,74,2,10.5,90.9,,
PGodjira,"Project GodJira","GodJira Island","292,824",47,"31 Oct 2021 08:36:23","2,001","04 Jun 2022 12:52:50","A Collection of 333 Unique Genesis GodJiras and 3333 gen2 GodJiras on the ethereum blockchain living as NFTs.",https://linktr.ee/projectgodjira,48,47,6.5,83.6,,
TheNFTCircle,"The NFT Circle","Ethereum Blockchain","117,861",6,"01 Dec 2021 20:21:12",144,"06 Jun 2022 04:15:48","Invite Only. Business inquiries: DM @TheNFTCircle No Paid Promos.",,53.2,0,51.1,82.5,,
iamDCinvestor,"DCinvestor.eth ⌐◨-◨",,"202,986",573,"25 Jan 2018 23:29:00","47,504","05 Jun 2022 21:39:47","investor, advisor. fan of #crypto, #web3, #ethereum, #defi & #nft art. posts are not financial advice. 🖼 https://t.co/Aq5wHkGfEK",,47,2,76.5,82,,"17 May 2022"
Samuueth,"SAMU®️",Metaverse,"106,744",922,"14 Mar 2013 12:04:27","9,474","05 Jun 2022 17:25:39","NFT Hunter ⚔️ Dm For Promo 📥 Social Media & #NFT Expert 🦾 #Solana #Ethereum #AVAX",https://t.me/Samuueth,75.4,7.2,1.4,81.8,,
nftworldsNFT,"NFT Worlds",Ethereum,"142,234",415,"21 Sep 2021 18:18:21","1,448","05 Jun 2022 21:06:34","NFT Worlds is the most capable & flexible metaverse platform. -- Learn more: https://t.co/e2XSvqyAsM OpenSea: https://t.co/uhpFW6mOmo Discord: https://t.co/ANwM",https://docs.nftworlds.com/,57.5,25,9.5,81.3,,
Fuzzy_Fighters,"Fuzzy Fighters","Ethereum Blockchain","67,179",34,"07 Dec 2021 07:21:58",233,"31 May 2022 04:59:21","1000 Genesis Collection. 🏝️High utility NFT for holders & future launchpad program for creators. #FuzzyFighters https://t.co/oVWuZxuDPX",https://fuzzyfighters.com,49.5,22,39.5,81.1,,
nftreminder,"NFT Reminder⚡️",Metaverse,"58,842","2,524","16 Oct 2021 15:32:39","1,032","01 Jun 2022 05:51:03","The #1 Source of Upcoming NFTs Calendar on @twitter 🏆 #Ethereum💎 #Solana #Avalanche #BNB #ADA https://t.co/gzNI6Bza93",https://nftreminder.io,91.5,2.5,19,80.8,,
CatfeeClub,"Catfee Club",Metaverse,"49,866",0,"19 Apr 2022 04:49:32",21,"26 May 2022 16:11:31","10 000 Catfee NFTs with interesting looks and features are jumping on the Ethereum Blockchain. 🔗 https://t.co/tL3wo9keRN 🔗 https://t.co/VXlCqr2KMB",http://catfeeclub.com,90.5,0,14.3,80.6,,
DickManiacSquad,DickManiacSpaceSquad,Ethereum,"34,972",36,"09 Jan 2022 19:50:32",85,"31 May 2022 07:07:14","The first interactive NFT cartoon series with Dicks in Space 🚀 10.000 DickManiac NFTs traveling through space. Genesis Presale live ⬇️",http://dickmaniacspacesquad.com,78.8,15.3,16.5,80.4,,
BukhariNFT,BUKHARI,,"139,781","6,801","05 Aug 2021 16:29:20",737,"05 Jun 2022 16:09:42","Community Builder | NFT Project Marketer | Chain #Solana # #Ethereum | #Promoter 🎭",,54,8.5,5.5,80.2,,
OliviaBrownNFT,"Olivia Brown NFT","New York, USA","51,509",251,"08 Mar 2011 18:04:23","10,787","23 Apr 2022 23:25:10","Investor & marketing expert | DM for business inquiries 📩 I buy JPEGs everyday ❤️ #BTC #Ethereum #BSC #Solana #GEM 💎 / #NFT Collector 🔥 NFA. DYOR",,8.1,91.9,0,80,,
themetroverse,Metroverse,,"234,181",0,"18 Nov 2021 11:56:38",325,"18 May 2022 21:54:41","Metroverse is a land trading NFT strategy game on Ethereum. Collect, trade, and stake your city blocks to earn the $MET utility token. https://t.co/tTeV7KRWPK",http://metroverse.com,88,3,4.5,80,,
kriptomert16,"CyberWolf 🐺",,"33,744",643,"17 May 2021 13:40:28","3,491","05 Jun 2022 16:24:00","⚜️ Promoter ⚜️ #NFT Marketing Services ⚜️ Daily #NftGiveaway ⚜️ DM for Promo 📥 #Ethereum | #Solana | #Elrond | @amysteryNFT🐺",,55,28.5,9,79.7,,
TheHeathensNFT,Heathens,,"117,087",72,"16 Jan 2022 06:51:06",391,"20 May 2022 19:49:21","1000 Heathens Roaming The Ethereum Blockchain | NFT Tools - Launchpad - Community - DAO | Become a Heathen ⤵️",https://linktr.ee/heathensnft,52,19.7,17.7,79.2,,
crypto_prince2,"Crypto Prince || Marketing Manager || Promoter™","Las Vegas, NV","50,403","1,129","08 Apr 2021 13:48:18","13,598","01 Jun 2022 12:24:24","#NFTs marketing services 📈 • DM for promo and Campaigns • worked w/ @OGCatsNFT, @shinobibunnynft, @moonwalkersoff #BNB #NFTPromoter #Bitcoin #CRO #Ethereum",,42.6,49.5,24.5,79.2,,
HaroBuru,"Haro Buru NFT","Haro Buru Land","28,994",11,"18 Apr 2022 03:14:50",24,"29 May 2022 17:11:53","💟Haro Haro! Carbon Break Haro Buru on Ethereum by @chrome_INC01 Premium 88% by invitation Discord🗝️Locked - No Bears Allowed",https://linktr.ee/haroburu,78.1,12.5,18.8,79.2,,
KomorebiNoSekai,"Komorebi No Sekai NFT MINTING LIVE 🍜",,"22,606",30,"26 Jan 2022 11:03:48","1,010","26 May 2022 17:00:02","From darkness 🌑 comes light ⚡️ 8,888 #NFT unique warriors 🥷ready to fight on #Ethereum Blockchain! Choose your side, anon! 👺And get ready for the battle. ⚔️",https://discord.com/invite/komorebinosekai,94,2.5,76,78.6,,
ATSNFT,"APES TOGETHER STRONG NFT💯","THE JUNGLE","26,887",62,"02 Jan 2022 03:56:40",732,"07 Jun 2022 00:14:26","4,444 Uniquely Generated Apes on the Ethereum blockchain.",https://linktr.ee/atsnft,42.5,51.5,3,78.5,,
Immutable,"Immutable | $IMX ⓧ","Sydney, Australia","242,311",932,"27 Feb 2020 23:25:55","2,524","02 Jun 2022 12:59:37","Ethereum's leading NFT scaling platform. Zero gas fees, 9K TPS & 100% carbon neutral. We're hiring https://t.co/S5nKfsvUVC Discord https://t.co/7tqcrPvtps",http://immutable.com,61,30.5,11,78.2,,"17 May 2022"
Ninacrypto_,"Crypto Nina 💎",,"104,466",452,"26 Jun 2021 20:59:33","2,809","29 May 2022 19:22:41","Crypto enthusiast & Gem finder 💎 - Big opportunities 🔥 DM for inquiries 📩 #BSC #NFT #BTC #Ethereum #Solana",,19.7,11.1,72.2,78.2,,
CryptosGemsCom,"Crypto GEMs 💎💎💎","Crypto City","416,918","8,455","10 Aug 2011 21:37:48","14,146","07 Jun 2022 00:10:26","Gem Hunter 🚨 #Bitcoin #Ethereum #BSC #BNB #Solana #AVAX #FTM #CryptoMarkets #Defi #NFTs #Memes #Metaverse #CoinMarketCap #CRO",https://t.me/CryptoGemsCom,7.5,9.5,2.5,78.2,,
